audit_id,timestamp,event_id,customer_id,event_type,root_cause,risk_level,decision,action_taken,message_sent,attempt_number,amount,recovered,recovered_amount,outcome,stopping_rule_triggered,stopping_rule_detail
3af6b334-e333-4994-bc45-fafb3245429a,2026-09-03T17:31:23.521631,6e174b0d-b222-4958-a997-5a1ffd91e575,cust_6b5252e3,checkout_abandoned,abandoned_at_payment_step,high,send_nudge,[SIMULATED] Send send_nudge via SMS/Email,"Hi Advika Jayaraman, you were just a step away from completing your ₹13,896 purchase! Your cart is still saved. Complete your order here: https://rzp.io/example",1,13896.46,False,0.0,pending,False,
bc657b94-7ac2-40a0-a9ad-2c7bcc44cef0,2026-09-03T17:31:23.521654,3e5eec03-8ad6-453a-bde0-9cc6023b1887,cust_13eecdc6,checkout_abandoned,abandoned_at_payment_step,high,send_nudge,[SIMULATED] Send send_nudge via SMS/Email,"Hi Pushti Ravel! Aap ₹21,212 ki purchase se bas ek step door the! Cart abhi bhi saved hai — yahan se complete karein: https://rzp.io/example",1,21211.71,True,21211.71,recovered,False,
f5b2a52b-aab5-4572-acca-9b2ae74a327e,2026-09-03T17:31:23.521672,45b74b86-6c30-43ad-bc7c-621629c4dcde,cust_978648f8,payment_failed,bank_issuer_error,medium,retry_payment,"[SIMULATED] Retry payment of ₹1,521 after 15min delay","Hi Fiyaz Sangha, your payment of ₹1,521 failed due to a temporary bank issue. We're retrying automatically — no action needed from you. If the issue persists, try a different payment method.",1,1521.49,True,1521.49,recovered,False,
63827983-48f0-429b-b27c-39fc73fce618,2026-09-03T17:31:23.521683,0bf3a07e-f74a-4217-b0f8-1dfbe3d35d2a,cust_c73f6e1b,checkout_abandoned,abandoned_at_payment_step,high,send_nudge,[SIMULATED] Send send_nudge via SMS/Email,"Hi Watika Mangat, you were just a step away from completing your ₹29,545 purchase! Your cart is still saved. Complete your order here: https://rzp.io/example",1,29545.43,False,0.0,pending,False,
5ce7cf5d-75d3-4e1b-a399-333adece9dec,2026-09-03T17:31:23.521695,e03467b7-9dc0-4001-a365-5510fd193a2a,cust_f7860b50,subscription_failed,subscription_bank_declined,high,retry_payment,[SIMULATED] Retry payment of ₹485 after 15min delay,Hi Indali Upadhyay! ₹485 ka subscription renewal bank ne decline kar diya. Hum jaldi retry karenge. Problem continue ho toh bank se contact karein ya dusra card try karein.,1,485.19,True,485.19,recovered,False,
f9694de8-c90c-4d60-9351-214734830b26,2026-09-03T17:31:23.521705,8200a7dc-b0c7-440f-b78c-8416421fc2c8,cust_b489d070,checkout_abandoned,abandoned_at_payment_step,high,send_nudge,[SIMULATED] Send send_nudge via SMS/Email,"Hi Libni Doshi, you were just a step away from completing your ₹42,405 purchase! Your cart is still saved. Complete your order here: https://rzp.io/example",1,42405.22,False,0.0,pending,False,
6399cdd7-202e-4075-9570-ce4e4428e079,2026-09-03T17:31:23.521714,2dd9266d-8ecd-480e-8337-05bf3316dad9,cust_30974b2b,payment_failed,bank_issuer_error,medium,retry_payment,"[SIMULATED] Retry payment of ₹48,661 after 15min delay","Hi Suhani Chand, your payment of ₹48,661 failed due to a temporary bank issue. We're retrying automatically — no action needed from you. If the issue persists, try a different payment method.",1,48661.17,False,0.0,pending,False,
db8967fa-a516-471b-b38e-1b0928810211,2026-09-03T17:31:23.521724,397ef2bf-7934-43c3-a487-da2e851ec753,cust_b540b30e,invoice_overdue,invoice_no_response,high,send_reminder,[SIMULATED] Send send_reminder via SMS/Email,"Hi Anusha Bath, a friendly reminder that your invoice of ₹31,002 is pending. Please process the payment at your earliest convenience. Payment link: https://rzp.io/example",1,31002.28,False,0.0,pending,False,
c9274be3-114b-41dc-a000-c6012c1d5fdb,2026-09-03T17:31:23.521737,50a7b55a-3936-4201-8103-0f224de70277,cust_f264accc,checkout_abandoned,abandoned_at_payment_step,high,send_nudge,[SIMULATED] Send send_nudge via SMS/Email,"Hi Alka Wable, you were just a step away from completing your ₹11,549 purchase! Your cart is still saved. Complete your order here: https://rzp.io/example",1,11549.33,False,0.0,pending,False,
6bb17bd4-6729-477e-8de5-de6a24bcc400,2026-09-03T17:31:23.521749,3d3d8eb0-ec71-4214-8952-57b30c452eea,cust_978648f8,invoice_overdue,invoice_no_response,high,send_reminder,[SIMULATED] Send send_reminder via SMS/Email,"Hi Fiyaz Sangha! Yaad dila dein — ₹19,130 ka invoice abhi pending hai. Jaldi se jaldi payment process kar dijiye. Link: https://rzp.io/example",1,19130.29,False,0.0,pending,False,
3870d356-b6cc-4b11-8c6d-6b37d7059bba,2026-09-03T17:31:23.521758,dc16ee0b-45c5-4aa2-b5e0-cfb6c4e54833,cust_f7860b50,payment_failed,insufficient_funds,high,retry_payment,"[SIMULATED] Retry payment of ₹10,633 after 4320min delay","Hi Indali Upadhyay! Aapka ₹10,633 ka payment process nahi ho paya — account mein balance check kar lijiye. Hum kuch dinon mein retry karenge. Koi help chahiye? Reply karein!",1,10633.45,False,0.0,pending,False,
d244ce4e-e22c-4fed-86b8-7f0e92e5b8b1,2026-09-03T17:31:23.521768,5428458d-762a-4cf6-8138-0368c08ffd1f,cust_2e4bebc4,subscription_failed,subscription_bank_declined,high,retry_payment,"[SIMULATED] Retry payment of ₹1,261 after 15min delay","Hi Raksha Bassi, your subscription renewal of ₹1,261 was declined by your bank. We'll retry shortly. If the issue continues, please contact your bank or try a different card.",1,1261.48,True,1261.48,recovered,False,
